simulation,population_size,polarization,rotation
1,200,0.698493,0.662885
2,153,0.648831,0.669739
3,95,0.992986,0.039555
4,136,0.865383,0.207844
5,50,0.154512,0.582071
6,147,0.201744,0.671921
7,87,0.173733,0.731355
8,96,0.976577,0.026226
9,115,0.806420,0.332115
10,193,0.895173,0.262278
11,110,0.758960,0.245788
12,171,0.935018,0.113852
13,137,0.462362,0.913597
14,123,0.722219,0.487790
15,180,0.298893,0.561080
16,48,0.830605,0.327738
17,137,0.225564,0.737739
18,68,0.883538,0.166315
19,198,0.887205,0.062439
20,163,0.223415,0.780026
21,70,0.996966,0.003844
22,154,0.529295,0.890959
23,78,0.978493,0.077698
24,193,0.938597,0.118463
25,171,0.860763,0.216682
26,186,0.980848,0.135698
27,73,0.799573,0.593531
28,80,0.983973,0.071105
29,116,0.988253,0.044428
30,132,0.963807,0.001340
31,174,0.898520,0.375838
32,192,0.428616,0.664936
33,160,0.986106,0.063641
34,147,0.959325,0.082461
35,138,0.982670,0.069871
36,149,0.816068,0.539360
37,108,0.875701,0.191827
38,96,0.750680,0.199728
39,170,0.864407,0.140716
40,113,0.821390,0.533908
41,85,0.892922,0.167567
42,184,0.797056,0.319988
43,128,0.904593,0.213674
44,105,0.574271,0.840511
45,164,0.089106,0.784143
46,196,0.372662,0.436243
47,47,0.997319,0.023397
48,184,0.390893,0.420990
49,118,0.988012,0.029720
50,146,0.934350,0.007499
51,149,0.325766,0.600834
52,153,0.463127,0.678275
53,180,0.773252,0.285660
54,114,0.967167,0.012802
55,113,0.910519,0.147996
56,180,0.207446,0.783909
57,69,0.704955,0.776095
58,121,0.863121,0.238212
59,199,0.379825,0.464658
60,174,0.838465,0.323955
61,120,0.964049,0.041247
62,177,0.269269,0.729041
63,173,0.080122,0.065386
64,111,0.716893,0.213858
65,167,0.918672,0.265027
66,81,0.770296,0.137302
67,64,0.991679,0.032828
68,127,0.224941,0.680935
69,145,0.973540,0.012339
70,148,0.948734,0.042149
71,116,0.176833,0.828260
72,178,0.814357,0.270213
73,152,0.720276,0.694470
74,168,0.987258,0.072715
75,99,0.928608,0.103531
76,95,0.996809,0.065224
77,73,0.987416,0.041368
78,68,0.973963,0.153718
79,122,0.989778,0.083818
80,46,0.979219,0.042119
81,188,0.718773,0.541309
82,105,0.915294,0.061861
83,135,0.810985,0.201364
84,191,0.893707,0.167330
85,120,0.530658,0.620159
86,127,0.840292,0.243547
87,176,0.774610,0.286949
88,171,0.870139,0.004100
89,125,0.987863,0.023993
90,105,0.977172,0.013191
91,79,0.319950,0.805486
92,118,0.887608,0.103173
93,194,0.944065,0.141562
94,93,0.962710,0.001393
95,103,0.984193,0.077019
96,165,0.351416,0.658122
97,58,0.956803,0.108610
98,190,0.715966,0.138928
99,107,0.653134,0.195350
100,159,0.254854,0.786368
